Predicts,Y_true,Data,Data_2
166260,55780,36656,75411
202030,66173,41125,70733
191990,73438,46873,70352
320744,68719,47161,68781
87824,64364,47323,68072
88592,57603,40823,67970
275369,57934,36188,67704
341000,66795,37071,67170
309283,84781,41849,66654
288542,97892,47697,66335
619874,99333,46919,65955
137556,99420,47081,65061
193808,91803,41780,64967
520179,82214,41752,64741
568909,92145,41884,64716
567309,108027,51825,63729
501353,125553,56062,62827
1059893,125140,52143,61760
291404,109643,55221,61217
299311,122300,59089,61121
771122,128750,44253,61044
768842,112050,46475,60999
779263,137684,51865,60736
916799,163906,62075,60299
969903,157163,54838,59633
391106,159752,56149,59385
434339,147447,52010,59164
842108,134129,45430,58821
896281,144018,51448,57725
860866,164830,56422,56708
816711,190457,68832,56561
1335345,189432,66758,56244
457577,189232,64912,55359
412722,150733,58983,54799
848263,151030,53656,54666
796105,183180,58476,54583
712603,213642,61579,53573
733052,239703,73417,51991
955034,224292,73668,51912
399998,228976,72530,51744
278682,218832,63464,51332
453747,204852,58594,50046
596939,223798,60162,49551
486961,255598,67579,49502
402083,294016,76875,49381
490343,270319,70024,48710
207288,259936,72298,47410
118942,243873,64902,46923
233553,175452,56150,46492
279130,205106,59764,45949
242715,225137,67905,44615
209471,229890,68392,44121
273596,230403,62349,44112
100730,238504,65170,43194
83963,209472,55989,42983
161243,179120,50936,42615
161743,154716,40375,42262
146940,149728,49597,41783
125339,159383,60350,41660
193147,202720,55502,41268
55217,228015,59534,40876
60199,199504,46487,39107
134383,183935,38726,38326
138515,187787,37603,37974
130326,201873,43558,36350
126417,237793,46530,35611
191192,247615,47078,35318
52127,242137,37313,35273
62279,200884,37977,34339
151146,197535,28581,33836
143609,181033,27370,33610
132774,216946,33388,32971
120741,247788,33209,32795
98269,209432,28690,32377
53789,222042,25893,32204
50292,226497,24736,32089
80684,186239,20541,31942
71980,177617,20680,31891
105462,206276,26297,31838
100861,226035,28461,31729
153678,217171,23001,31572
34570,211541,22312,31462
40526,193050,18532,31078
113872,153068,17964,31065
113565,141359,17841,30065
106102,144298,23790,30026
96998,165197,24625,29669
142258,144915,21044,29551
28987,195900,20770,29386
48975,174904,17059,29242
123178,160716,21420,29063
71612,151402,23974,28873
90600,174152,23805,28350
82889,194608,24200,28051
127044,190853,19813,27780
26378,171907,16755,27561
29450,168136,19451,27500
89197,152084,21740,27347
88534,140164,21233,27305
79234,164209,25847,27042
73655,178070,25838,27018
119165,163517,24057,26605
20850,154355,21700,26451
29823,147733,22906,26381
87350,125143,20058,26370
82002,111754,25447,26140
83740,129545,27212,25972
102321,134697,34540,25927
93379,123425,17398,25915
23900,115768,24198,25786
31350,98886,19391,25641
81294,87289,21923,25630
87551,74391,25972,25381
76124,93339,28107,25241
80925,98031,29507,24881
70047,91744,25347,24669
49746,85183,22873,24629
62767,76043,21411,24550
91112,69848,26886,24479
96788,66156,28398,24441
97068,76393,31957,24128
90507,83089,31585,24071
74865,75069,27055,23933
60207,70307,23378,23914
70628,59086,24498,23883
107778,62100,26327,23880
112364,49028,33375,23231
107500,54600,35012,23138
104559,69566,33079,22590
87008,63259,31055,22569
68948,58153,25383,22164
82179,50741,26157,22154
120424,49787,27027,22079
122553,45000,27601,21649
116086,53959,30561,21210
116400,59183,31782,21068
102593,55685,25185,20952
77705,54468,25162,20551
96699,41961,25107,20340
132896,41703,27088,20287
135789,35624,32206,20182
132174,47855,32703,20156
134777,51279,34861,19963
92751,47560,34185,19299
97684,46189,29394,19092
123924,38967,28694,19059
157569,39202,27043,18921
167503,35328,32491,18914
163098,42943,31838,18717
162294,50161,30046,18680
112644,46351,28347,18591
116880,42817,23542,18374
154055,50059,15584,18288
170684,41698,26334,17821
185220,34261,20635,17742
170040,42619,20232,17264
118809,48031,18736,16922
109499,45460,14002,16127
125030,44927,11351,12127
142977,37170,10773,11152
183300,34688,10824,10618
182513,32926,9218,8919
199232,40248,7479,6367
176911,44413,6154,5995
133879,38928,4909,4494
118880,35387,3213,2657
152228,28632,2335,1833
183033,24976,2182,1467
187178,33726,1242,759
178008,41557,914,633
163636,51317,748,439
116883,45423,514,365
127651,42528,496,234
143662,38991,415,188
167314,39245,211,166
